Atom type,Coordinate-X,Coordinate-Y,Coordinate-Z,Mulliken charges,NPA charges,NMR Shielding
6,0.41901,1.27681,-0.11534,-0.051434,-0.07391,113.7590000000
1,1.24853,-0.18726,1.2567,0.142089,0.20166,30.1464750000
1,2.00107,-0.23289,-0.34431,0.137964,0.21631,30.1464750000
1,-0.03545,-1.17027,-1.34249,0.142090,0.20166,30.1464750000
1,0.02435,-2.03373,0.20103,0.137965,0.21631,30.1464750000
1,-1.5681,-0.51598,1.21917,0.112084,0.16102,28.3646500000
1,-2.17755,-0.49336,-0.44813,0.116472,0.18124,28.0190000000
1,0.61389,1.58371,-1.15165,0.112084,0.16101,28.3646500000
1,0.76557,2.07356,0.54802,0.116477,0.18125,28.0190000000
6,1.00578,0.37432,0.09268,-0.293516,-0.43143,155.8777000000
6,0.23426,-0.83182,0.64157,-0.294780,-0.43162,155.8777000000
6,-0.95568,-0.89686,-0.31926,-0.051063,-0.07401,113.7964000000
8,-1.21749,0.4502,-0.73025,-0.326102,-0.50958,289.4596000000
6,-0.13724,1.3005,-0.32899,-0.051814,-0.07381,113.7273000000
1,1.6013,0.08,-0.77696,0.142027,0.20168,30.1468500000
1,1.67578,0.83201,0.82336,0.137890,0.21627,30.1468500000
1,-0.10699,-0.63098,1.66174,0.142172,0.20163,30.1468500000
1,0.81932,-1.75365,0.65543,0.138044,0.21634,30.1468500000
1,-0.71647,-1.50389,-1.20255,0.112157,0.16129,28.3652500000
1,-1.86032,-1.30376,0.14023,0.116251,0.18102,28.0192000000
1,0.12104,1.95352,-1.16666,0.116719,0.18148,28.0192000000
1,-0.46328,1.93032,0.50968,0.112014,0.16073,28.3652500000
6,2.63067,-3.08578,1.02026,-0.359854,-0.24948,129.0787000000
8,2.392,-1.89321,0.29409,-0.274115,-0.47738,218.6410000000
6,2.7773,-0.71037,0.84577,0.352518,0.34668,6.6988000000
6,2.43636,0.43687,0.11228,-0.171140,-0.15082,44.7921000000
6,2.83968,1.6874,0.60153,0.271777,0.32659,6.3810000000
6,3.52658,1.79998,1.81455,-0.248795,-0.33281,66.9528000000
6,3.82647,0.64632,2.52853,-0.151991,-0.16461,35.3095000000
6,3.4647,-0.61015,2.05825,-0.280363,-0.32733,66.4360000000
8,2.49834,2.75852,-0.172,-0.270357,-0.47965,226.3464000000
6,2.82862,4.05582,0.28763,-0.358365,-0.25120,130.7855000000
6,1.69377,0.31435,-1.17453,0.163612,-0.02045,16.7719000000
6,2.3679,0.60662,-2.36379,-0.167595,-0.18527,30.9433000000
6,1.74653,0.45938,-3.59755,-0.130277,-0.20322,37.3469000000
6,0.43375,0.00089,-3.65308,-0.179017,-0.21456,38.7182000000
6,-0.24911,-0.27991,-2.47447,-0.174758,-0.21507,30.3047000000
6,0.35066,-0.11146,-1.21915,-0.127745,-0.30371,21.9683000000
15,-0.54209,-0.42045,0.38287,0.118394,0.82816,300.6237000000
6,-1.76293,-1.75166,-0.11445,-0.220538,-0.49726,157.0963000000
6,-2.78228,-1.96464,1.02885,-0.339522,-0.40730,160.2490000000
6,-3.38002,-3.37339,0.97298,-0.287795,-0.39648,164.8033000000
6,-2.29879,-4.44412,1.23389,-0.267878,-0.39816,162.6731000000
6,-0.90349,-3.9712,0.77919,-0.335036,-0.40424,164.4055000000
6,-0.99916,-3.06168,-0.44756,-0.324888,-0.41244,163.6522000000
6,-1.66071,1.09326,0.5119,-0.170016,-0.48456,154.5057000000
6,-0.81222,2.37433,0.7494,-0.341924,-0.40705,161.2754000000
6,-0.71754,3.23362,-0.51336,-0.308876,-0.40177,165.4607500000
6,-2.10696,3.74144,-0.95063,-0.263922,-0.39906,164.0957000000
6,-3.22427,2.73266,-0.60955,-0.297096,-0.39550,163.7045000000
6,-2.68328,1.29947,-0.62198,-0.332963,-0.41496,165.4607500000
1,3.70204,-3.25436,1.17078,0.160817,0.17216,28.4563000000
1,2.22135,-3.8891,0.4119,0.161055,0.19674,28.2817666667
1,2.12188,-3.07079,1.9886,0.172094,0.17656,28.3690000000
1,3.82442,2.76429,2.20239,0.156785,0.21924,24.6078000000
1,4.35728,0.72821,3.47125,0.141089,0.21319,23.6929000000
1,3.71681,-1.49047,2.63311,0.155180,0.21947,24.7058000000
1,2.46266,4.74096,-0.47427,0.164494,0.19737,28.2817666667
1,2.3401,4.27919,1.24188,0.170400,0.17315,28.5649000000
1,3.91114,4.17992,0.39615,0.158509,0.17312,28.2817666667
1,3.39718,0.94359,-2.31051,0.145679,0.21513,23.9539000000
1,2.2883,0.68721,-4.50983,0.139431,0.21303,23.8962000000
1,-0.05911,-0.13855,-4.61012,0.139865,0.21241,23.7903000000
1,-1.26665,-0.64346,-2.5411,0.178111,0.20710,23.3819000000
1,-2.32296,-1.44169,-1.00026,0.172480,0.20676,29.5925000000
1,-3.57111,-1.21054,0.96706,0.151749,0.21015,30.4305400000
1,-2.29949,-1.8197,2.00328,0.171156,0.19650,30.7251600000
1,-4.19681,-3.47345,1.69392,0.144846,0.20908,30.4305400000
1,-3.82769,-3.52552,-0.01574,0.148001,0.19301,30.5599833333
1,-2.56744,-5.36868,0.71239,0.139646,0.20009,30.5599833333
1,-2.26908,-4.69223,2.2999,0.138574,0.20065,30.4305400000
1,-0.26306,-4.83365,0.57062,0.148357,0.20653,30.7251600000
1,-0.41523,-3.41639,1.58683,0.167631,0.20090,30.4305400000
1,-1.52335,-3.59413,-1.24969,0.158268,0.20025,30.5599833333
1,-0.00462,-2.83425,-0.838,0.199038,0.22275,30.7251600000
1,-2.22044,0.89301,1.43283,0.169000,0.22245,30.5599833333
1,0.18577,2.11344,1.10644,0.178859,0.21701,30.9066500000
1,-1.2721,2.96701,1.54886,0.153995,0.19859,30.7251600000
1,-0.04591,4.07851,-0.34156,0.133056,0.20566,31.2819000000
1,-0.25575,2.64543,-1.30969,0.186582,0.21026,31.9688000000
1,-2.32419,4.70159,-0.47042,0.136202,0.19770,30.7251600000
1,-2.09797,3.93448,-2.02838,0.138981,0.20092,30.8478000000
1,-3.63734,2.94793,0.38294,0.147751,0.19100,30.9066500000
1,-4.05702,2.83485,-1.31229,0.141976,0.20703,30.5599833333
1,-3.50106,0.58065,-0.5245,0.148894,0.20654,30.5599833333
1,-2.22095,1.11369,-1.59469,0.159973,0.20039,30.4305400000
15,-0.15786,-1.59874,-1.25227,0.109962,0.76242,207.2385000000
6,-0.49762,0.25543,-1.74924,-0.034659,-0.27543,142.3188000000
6,-0.64008,0.58228,-3.24706,-0.456621,-0.61882,157.3060000000
1,-1.49279,0.08301,-3.70783,0.140815,0.20354,30.3372777778
1,0.25003,0.31989,-3.8202,0.167735,0.20964,30.3372777778
1,-0.79951,1.66059,-3.37311,0.153023,0.20414,31.1613666667
6,-1.78945,0.67921,-1.01019,-0.447801,-0.61560,148.3819000000
1,-1.71239,0.48868,0.06289,0.169633,0.21639,30.6500333333
1,-1.94628,1.75564,-1.14652,0.144571,0.20170,31.3914000000
1,-2.68328,0.1771,-1.37315,0.158972,0.20993,30.3372777778
6,0.61532,1.14996,-1.16459,-0.520832,-0.61190,149.0482000000
1,1.56798,1.04482,-1.68253,0.149147,0.20261,30.5201333333
1,0.7765,0.96091,-0.10064,0.181768,0.21298,30.6500333333
1,0.31331,2.19856,-1.26442,0.157645,0.20638,31.2527666667
6,-1.27887,-2.72836,-2.37849,-0.035523,-0.27526,140.5020000000
6,-2.72634,-2.1962,-2.34937,-0.520489,-0.61204,148.6704000000
1,-3.38599,-2.94219,-2.80663,0.157632,0.20646,31.2527666667
1,-2.85607,-1.27217,-2.91153,0.149090,0.20267,30.5201333333
1,-3.08218,-2.03419,-1.32918,0.181764,0.21300,30.6500333333
6,-1.34052,-4.11205,-1.68925,-0.447608,-0.61559,147.8514000000
1,-0.39353,-4.64669,-1.70043,0.158826,0.20993,30.3372777778
1,-2.07249,-4.74164,-2.20863,0.144662,0.20173,31.3914000000
